dataset,mechanism,methodology,model_type,abl_adasyn,abl_lpl,abl_contrast,avg_f1,std_f1
citeseer,SCAR,ours,GATConv,True,True,True,0.7333753934389527,0.008105117380661277
citeseer,SCAR,ours,GATConv,True,True,False,0.7363630048067056,0.006121514647585452
citeseer,SCAR,ours,GATConv,True,False,True,0.7322610466195126,0.009590064892526019
citeseer,SCAR,ours,GATConv,True,False,False,0.7311546235217617,0.01040451613218762
citeseer,SCAR,ours,GATConv,False,True,True,0.7320033957830435,0.007131429042440037
citeseer,SCAR,ours,GATConv,False,True,False,0.7322694509758669,0.006580157750642828
citeseer,SCAR,ours,GATConv,False,False,True,0.7376865931569938,0.008168234110208972
citeseer,SAR,ours,GATConv,True,True,True,0.7168998620345706,0.009992713058240068
citeseer,SAR,ours,GATConv,True,True,False,0.7159857262832091,0.016445949119033545
citeseer,SAR,ours,GATConv,True,False,True,0.7126659357381512,0.01618732083715795
citeseer,SAR,ours,GATConv,True,False,False,0.7161577896670533,0.020578036202771214
citeseer,SAR,ours,GATConv,False,True,True,0.7220158295348381,0.01675782154628746
citeseer,SAR,ours,GATConv,False,True,False,0.7086080596607817,0.015087739651853812
citeseer,SAR,ours,GATConv,False,False,True,0.7152857196040733,0.015770752062348136
cora,SCAR,ours,GCNConv,True,True,True,0.7987571105048236,0.009239889157820565
cora,SCAR,ours,GCNConv,True,True,False,0.7982420449535135,0.004260843202032045
cora,SCAR,ours,GCNConv,True,False,True,0.7999733403058688,0.008300992535801093
cora,SCAR,ours,GCNConv,True,False,False,0.7941011417895015,0.014700986186395131
cora,SCAR,ours,GCNConv,False,True,True,0.7977853924953703,0.008781963737225866
cora,SCAR,ours,GCNConv,False,True,False,0.7950458204856533,0.009970303124537979
cora,SCAR,ours,GCNConv,False,False,True,0.7958498651821323,0.01123868006634869
cora,SAR,ours,GCNConv,True,True,True,0.798219340142014,0.004385660876116162
cora,SAR,ours,GCNConv,True,True,False,0.8052971637077904,0.006034857810997883
cora,SAR,ours,GCNConv,True,False,True,0.8027441826224194,0.006768097901183191
cora,SAR,ours,GCNConv,True,False,False,0.8009184054370202,0.004754035234256102
cora,SAR,ours,GCNConv,False,True,True,0.8015877289123085,0.010876614626793017
cora,SAR,ours,GCNConv,False,True,False,0.8011879456008463,0.00691786501647297
cora,SAR,ours,GCNConv,False,False,True,0.7976476140623321,0.006677745538326669
pubmed,SCAR,ours,GCNConv,True,True,True,0.7416827541798687,0.00841119404090044
pubmed,SCAR,ours,GCNConv,True,True,False,0.7427043515630869,0.007267802065849319
pubmed,SCAR,ours,GCNConv,True,False,True,0.7417797356810226,0.005866070800950464
pubmed,SCAR,ours,GCNConv,True,False,False,0.741215707246451,0.008516913669292095
pubmed,SCAR,ours,GCNConv,False,True,True,0.7413848069754975,0.007479358775710106
pubmed,SCAR,ours,GCNConv,False,True,False,0.7414084208549568,0.007768511118994715
pubmed,SCAR,ours,GCNConv,False,False,True,0.7427343496612177,0.006265893927865898
pubmed,SAR,ours,GCNConv,True,True,True,0.7411462026828669,0.0032929116394770173
pubmed,SAR,ours,GCNConv,True,True,False,0.7413240164403977,0.003033181642235577
pubmed,SAR,ours,GCNConv,True,False,True,0.7427850120722493,0.0033315314607860248
pubmed,SAR,ours,GCNConv,True,False,False,0.7414924879247606,0.0035593939777156013
pubmed,SAR,ours,GCNConv,False,True,True,0.7414832705156327,0.004882914272376649
pubmed,SAR,ours,GCNConv,False,True,False,0.7411639838848929,0.004898296210211546
pubmed,SAR,ours,GCNConv,False,False,True,0.7409102294555078,0.005071004834153907
wiki-cs,SCAR,ours,GCNConv,True,True,True,0.8385331968508288,0.0011948137207394385
wiki-cs,SCAR,ours,GCNConv,True,True,False,0.837997688782259,0.0016751531608515374
wiki-cs,SCAR,ours,GCNConv,True,False,True,0.8394854002145599,0.002094316784807627
wiki-cs,SCAR,ours,GCNConv,True,False,False,0.8401528332835698,0.003837063137251834
wiki-cs,SCAR,ours,GCNConv,False,True,True,0.8387517891823887,0.0026678483747755635
wiki-cs,SCAR,ours,GCNConv,False,True,False,0.8375786469863181,0.0024808084394429123
wiki-cs,SCAR,ours,GCNConv,False,False,True,0.838604871333554,0.002575785025916421
wiki-cs,SAR,ours,GCNConv,True,True,True,0.8363099094800703,0.0018080241374883504
wiki-cs,SAR,ours,GCNConv,True,True,False,0.8344001406418577,0.0017283632124585994
wiki-cs,SAR,ours,GCNConv,True,False,True,0.8366196100325385,0.004712699403363717
wiki-cs,SAR,ours,GCNConv,True,False,False,0.8332572985551808,0.001426529218634495
wiki-cs,SAR,ours,GCNConv,False,True,True,0.8337705528225858,0.0031978174940325266
wiki-cs,SAR,ours,GCNConv,False,True,False,0.8325501348620133,0.0037617165909664494
wiki-cs,SAR,ours,GCNConv,False,False,True,0.8338319411768996,0.0007980473888880875
