dataset,mechanism,methodology,model_type,avg_f1,std_f1,avg_ap,std_ap
elliptic-bitcoin,SAR2,ours,MLP,0.20084547012560433,0.05156772371157963,0.17185170635417252,0.04837480288675051
elliptic-bitcoin,SAR2,two_nnif,MLP,0.0032921707944237487,0.0018430885411801418,0.08488642967583535,0.0024873395921817215
elliptic-bitcoin,SAR2,two_nnif,GATConv,0.00017086715079026057,0.00034173430158052114,0.0910252675880601,0.013108029135413627
elliptic-bitcoin,SAR2,two_nnif,GCNConv,0.0,0.0,0.09215339054745283,0.005211419010057458
elliptic-bitcoin,SAR2,spy,MLP,0.006134765872803207,0.0019569388901934694,0.08325511700840041,0.007289688799882499
elliptic-bitcoin,SAR2,spy,GATConv,0.001012566589591424,0.000991077787062754,0.0897845018348423,0.0168343582517578
elliptic-bitcoin,SAR2,spy,GCNConv,0.0,0.0,0.08862829348007095,0.005808835237419524
elliptic-bitcoin,SAR2,XGBoost,MLP,0.0,0.0,0.09756865251173584,0.0
elliptic-bitcoin,SAR2,naive,MLP,0.001922553853945692,0.0006550254641029997,0.1613202297424497,0.01240385970218451
elliptic-bitcoin,SAR2,naive,GATConv,0.0001738374619730552,0.0003476749239461104,0.0992304647696994,0.014487521300549745
elliptic-bitcoin,SAR2,naive,GCNConv,0.0,0.0,0.09747745555606195,0.020323877204158947
elliptic-bitcoin,SAR2,NNIF,MLP,0.001581645204171375,0.00035126228972293675,0.11360627871391209,0.006104835960755043
elliptic-bitcoin,SAR2,nnpu,MLP,0.047887587352473636,0.04051661123651528,0.2153517406523092,0.07445831226602105
elliptic-bitcoin,SAR2,nnpu,GATConv,0.028042345939913827,0.02033298997431508,0.15265997891606548,0.042700946000305
elliptic-bitcoin,SAR2,nnpu,GCNConv,0.01942995952916433,0.005668461723302067,0.14189234324506123,0.011749577423542948
elliptic-bitcoin,SAR2,imbnnpu,MLP,0.14671206962121577,0.024021686797735725,0.1883516323810714,0.01282665519599954
elliptic-bitcoin,SAR2,imbnnpu,GATConv,0.10125388784680885,0.026306029913133116,0.10963892985556663,0.009616362467071414
elliptic-bitcoin,SAR2,imbnnpu,GCNConv,0.12409866269865732,0.03446898384439094,0.10336082659286612,0.01073702222841878
