alpha,K,layers,hidden_channels,out_channels,norm,dropout,margin,lpl_weight,ratio,seed,aggregation,pos_weight,accuracy,f1,recall,precision
0.94,19,1,256,128,,0.3,0.5,0.27,0.13,1,sum,1,0.9374812143071837,0.8486171761280932,0.8316690442225392,0.8662704309063893
0.94,19,1,256,128,,0.3,0.5,0.27,0.13,2,sum,1,0.9401863540727382,0.8550619082301529,0.8373751783166904,0.8735119047619048
0.94,19,1,256,128,,0.3,0.5,0.27,0.13,3,sum,1,0.9413886384129847,0.8571428571428571,0.8345221112696148,0.8810240963855421
0.94,19,1,256,128,,0.3,0.5,0.27,0.13,4,sum,1,0.9437932070934776,0.8623988226637234,0.8359486447931527,0.8905775075987842
0.94,19,1,256,128,,0.3,0.5,0.27,0.13,5,sum,1,0.9359783588818755,0.8446389496717724,0.8259629101283881,0.8641791044776119
0.94,19,1,256,128,,0.3,0.5,0.27,0.13,6,sum,1,0.9440937781785392,0.8634361233480177,0.8388017118402282,0.8895612708018155
0.94,19,1,256,128,,0.3,0.5,0.27,0.13,7,sum,1,0.9389840697324917,0.8517165814463111,0.8316690442225392,0.8727544910179641
0.94,19,1,256,128,,0.3,0.5,0.27,0.13,8,sum,1,0.9362789299669372,0.8454810495626822,0.8273894436519258,0.8643815201192251
0.94,19,1,256,128,,0.3,0.5,0.27,0.13,9,sum,1,0.9383829275623685,0.8493754592211609,0.8245363766048502,0.8757575757575757
0.94,19,1,256,128,,0.3,0.5,0.27,0.13,10,sum,1,0.9398857829876766,0.8548621190130624,0.8402282453637661,0.8700147710487445
