dataset,mechanism,methodology,model_type,avg_f1,std_f1
citeseer,SCAR,ours,MLP,0.6591529509438989,0.010932907260602266
citeseer,SCAR,ours,GATConv,0.7325063812103395,0.012619167865391459
citeseer,SCAR,ours,GCNConv,0.7298509310825233,0.00670212787483936
citeseer,SCAR,ours,SAGEConv,0.7061249186444537,0.008852346301165673
citeseer,SCAR,ours,GINConv,0.5967835512137647,0.03324645354927618
citeseer,SAR,ours,MLP,0.6264910768112344,0.015753007403035223
citeseer,SAR,ours,GATConv,0.7225681380568286,0.017953997646254823
citeseer,SAR,ours,GCNConv,0.7217412248313512,0.008162190780047013
citeseer,SAR,ours,SAGEConv,0.7073634721591985,0.009292478604210183
citeseer,SAR,ours,GINConv,0.6116744571493801,0.0022095628088386284
cora,SCAR,ours,MLP,0.37647089490797253,0.06067091687697129
cora,SCAR,ours,GATConv,0.7960420210201663,0.018019040206161817
cora,SCAR,ours,GCNConv,0.8007097729002804,0.0034200638516552603
cora,SCAR,ours,SAGEConv,0.6234915140776375,0.03680196429547686
cora,SCAR,ours,GINConv,0.7183493772180577,0.012308450944888666
cora,SAR,ours,MLP,0.39902587863563127,0.015393091395672794
cora,SAR,ours,GATConv,0.8094472826804094,0.01724717808932995
cora,SAR,ours,GCNConv,0.8036117477293949,0.011084016530143594
cora,SAR,ours,SAGEConv,0.6647345745975964,0.03803851969410519
cora,SAR,ours,GINConv,0.7102568984541325,0.008820235940085196
pubmed,SCAR,ours,MLP,0.5584147915157559,0.022190292615023963
pubmed,SCAR,ours,GATConv,0.7339862261654769,0.0029175001621739058
pubmed,SCAR,ours,GCNConv,0.7400646620751049,0.005017247629050151
pubmed,SCAR,ours,SAGEConv,0.703007526435496,0.005723017075343024
pubmed,SCAR,ours,GINConv,0.6782239168647317,0.00607639528368219
pubmed,SAR,ours,MLP,0.5357496337359801,0.015195688530994862
pubmed,SAR,ours,GATConv,0.7325174533397317,0.004796272175821564
pubmed,SAR,ours,GCNConv,0.7400876915391188,0.005422317734437163
pubmed,SAR,ours,SAGEConv,0.678998677772703,0.00785272933270141
pubmed,SAR,ours,GINConv,0.6674033585189,0.007157338926592951
wiki-cs,SCAR,ours,MLP,0.7443564409800056,0.01210208039945337
wiki-cs,SCAR,ours,GATConv,0.7738479342929442,0.0017080372416219591
wiki-cs,SCAR,ours,GCNConv,0.8420162111196232,0.006813180738492476
wiki-cs,SCAR,ours,SAGEConv,0.8170681121422056,0.0073533676218210005
wiki-cs,SCAR,ours,GINConv,0.0,0.0
wiki-cs,SAR,ours,MLP,0.7349171237814023,0.007496546519818544
wiki-cs,SAR,ours,GATConv,0.7563274329907146,0.007464725512493219
wiki-cs,SAR,ours,GCNConv,0.8339589298329187,0.0012045047174580811
wiki-cs,SAR,ours,SAGEConv,0.8096933012614952,0.003712146287751558
wiki-cs,SAR,ours,GINConv,0.0,0.0
