dataset,mechanism,methodology,model_type,train_pct,avg_f1,std_f1,avg_ap,std_ap
elliptic-bitcoin,SAR2,ours,GATConv,0.4,0.12179406990991148,0.028724095034153387,0.13986184333382026,0.026133508551344598
elliptic-bitcoin,SAR2,ours,GATConv,0.3,0.02699229137172644,0.002408438952559921,0.09675047616413958,0.007286685229176047
elliptic-bitcoin,SAR2,ours,GATConv,0.2,0.03728026155058834,0.005949787828753323,0.10945781298178725,0.006650776801562387
elliptic-bitcoin,SAR2,naive,GCNConv,0.4,0.007876835617664689,2.30268878001357e-06,0.15740113653555324,0.0012877563944446984
elliptic-bitcoin,SAR2,naive,GCNConv,0.3,0.007391438718076212,1.8586648375913168e-06,0.16292417516055344,0.002376931551117785
elliptic-bitcoin,SAR2,naive,GCNConv,0.2,0.0054225034776348435,6.92985537690615e-07,0.19854865435355373,0.001737704124491615
elliptic-bitcoin,SAR2,nnpu,MLP,0.4,0.0036477287821282535,0.0002346004659392605,0.07672307049538547,0.00026485814867395946
elliptic-bitcoin,SAR2,nnpu,GATConv,0.4,0.0,0.0,0.0893617320264687,0.00038268767971251955
elliptic-bitcoin,SAR2,nnpu,GCNConv,0.4,0.004970023797852911,0.00017760193328131125,0.07919289602668746,0.00019751475603094258
elliptic-bitcoin,SAR2,nnpu,MLP,0.3,0.004436974901340706,0.00020595663687409811,0.08736575239360723,0.00022686973565443083
elliptic-bitcoin,SAR2,nnpu,GATConv,0.3,0.0,0.0,0.10559325292529305,0.0019521710071277642
elliptic-bitcoin,SAR2,nnpu,GCNConv,0.3,0.005404570082385123,0.00033329370684526236,0.0918130620868538,0.0003356826195986385
elliptic-bitcoin,SAR2,nnpu,MLP,0.2,0.014931279017899285,0.0004859747877729639,0.10963631897795889,0.0005277470341003861
elliptic-bitcoin,SAR2,nnpu,GATConv,0.2,0.004113384606629469,0.0029156152743990324,0.12743338230701542,0.004749418739696363
elliptic-bitcoin,SAR2,nnpu,GCNConv,0.2,0.005429312163498223,0.00026587005451406435,0.11010122586605231,0.00023123012152180154
elliptic-bitcoin,SAR2,imbnnpu,MLP,0.4,0.23166714307870673,0.0009423092482276461,0.13017481131680111,0.0007649896124259389
elliptic-bitcoin,SAR2,imbnnpu,GATConv,0.4,0.16952768246833552,0.004045004179059679,0.10194155386532854,0.003587062748658727
elliptic-bitcoin,SAR2,imbnnpu,GCNConv,0.4,0.158250470357013,0.0008694927458353871,0.09608261845029975,0.0006018831311500308
elliptic-bitcoin,SAR2,imbnnpu,MLP,0.3,0.20133891229905923,0.006680276902155071,0.13202767811108548,0.0005452999445811471
elliptic-bitcoin,SAR2,imbnnpu,GATConv,0.3,0.16779152780539244,0.0024495813778617013,0.11563545986320144,0.004188060137228505
elliptic-bitcoin,SAR2,imbnnpu,GCNConv,0.3,0.16047492050809087,0.002778233107098624,0.11106836489697174,0.0006824713187420187
elliptic-bitcoin,SAR2,imbnnpu,MLP,0.2,0.19853777765989977,0.0018069033097155816,0.15042906557163108,0.0004009090144051381
elliptic-bitcoin,SAR2,imbnnpu,GATConv,0.2,0.18355716193037708,0.014843916801217685,0.13172312692569413,0.0018998031652021682
elliptic-bitcoin,SAR2,imbnnpu,GCNConv,0.2,0.1779695869764352,0.002026578924007114,0.12708518575472624,0.000903305460593405
