dataset,mechanism,methodology,model_type,ratio_multiplier,avg_f1,std_f1
cora,SAR,NNIF,MLP,0.75,0.28008183429776384,0.06214328753108763
cora,SAR,two_nnif,MLP,0.75,0.19191392883735328,0.03463800909389995
cora,SAR,two_nnif,GATConv,0.75,0.45304891599694486,0.052475942037915974
cora,SAR,two_nnif,GCNConv,0.75,0.47574924056110773,0.008067616604878975
cora,SAR,nnpu,MLP,0.75,0.6514359380035745,0.006653137882525135
cora,SAR,nnpu,GATConv,0.75,0.8339578370224942,0.014255832807654266
cora,SAR,nnpu,GCNConv,0.75,0.8337385153771207,0.016619475274126876
cora,SAR,imbnnpu,MLP,0.75,0.5831184843379965,0.022979541152147072
cora,SAR,imbnnpu,GATConv,0.75,0.8207655498819189,0.00834563315942393
cora,SAR,imbnnpu,GCNConv,0.75,0.8374342893068736,0.0169983358964065
cora,SAR,ours,GCNConv,0.75,0.5894930041429864,0.012677878629684225
cora,SAR,NNIF,MLP,1.0,0.40978766785218396,0.07324802293643799
cora,SAR,two_nnif,MLP,1.0,0.29312277624309413,0.024335315789423828
cora,SAR,two_nnif,GATConv,1.0,0.5397908735936553,0.054952645231531566
cora,SAR,two_nnif,GCNConv,1.0,0.5458617568134375,0.004571059158647762
cora,SAR,nnpu,MLP,1.0,0.6702043894378459,0.0032006631757674417
cora,SAR,nnpu,GATConv,1.0,0.7820920501485137,0.0012398790257170402
cora,SAR,nnpu,GCNConv,1.0,0.8150650278499697,0.015105914283600067
cora,SAR,imbnnpu,MLP,1.0,0.5831184843379965,0.022979541152147072
cora,SAR,imbnnpu,GATConv,1.0,0.8212847642442572,0.0076791063455815545
cora,SAR,imbnnpu,GCNConv,1.0,0.8374342893068736,0.0169983358964065
cora,SAR,ours,GCNConv,1.0,0.7886538434998549,0.018010252013346054
cora,SAR,NNIF,MLP,1.25,0.4767691188858729,0.05934904871227441
cora,SAR,two_nnif,MLP,1.25,0.3832603858338753,0.016872116039646997
cora,SAR,two_nnif,GATConv,1.25,0.6843649359369706,0.03470522721557281
cora,SAR,two_nnif,GCNConv,1.25,0.614412876346434,0.026182642077414022
cora,SAR,nnpu,MLP,1.25,0.6242889046023316,0.009061626506890434
cora,SAR,nnpu,GATConv,1.25,0.729015032086853,0.018617289093807568
cora,SAR,nnpu,GCNConv,1.25,0.7368193646637455,0.0023334360068750807
cora,SAR,imbnnpu,MLP,1.25,0.5813170529998339,0.019824164226115788
cora,SAR,imbnnpu,GATConv,1.25,0.8212847642442572,0.0076791063455815545
cora,SAR,imbnnpu,GCNConv,1.25,0.8374342893068736,0.0169983358964065
cora,SAR,ours,GCNConv,1.25,0.806920443813732,0.01958702691724391
cora,SAR,NNIF,MLP,1.5,0.5267430057547847,0.0306846761054552
cora,SAR,two_nnif,MLP,1.5,0.49700405513664014,0.02754815253916907
cora,SAR,two_nnif,GATConv,1.5,0.6886226979106699,0.05526648606243672
cora,SAR,two_nnif,GCNConv,1.5,0.7358863127604222,0.03435237111978936
cora,SAR,nnpu,MLP,1.5,0.5758670860516164,0.014422367338757703
cora,SAR,nnpu,GATConv,1.5,0.6610451491437761,0.023708868192567425
cora,SAR,nnpu,GCNConv,1.5,0.6493806656977136,0.0011335597710130242
cora,SAR,imbnnpu,MLP,1.5,0.5827020593788034,0.023951192331930923
cora,SAR,imbnnpu,GATConv,1.5,0.8207655498819189,0.00834563315942393
cora,SAR,imbnnpu,GCNConv,1.5,0.8374342893068736,0.0169983358964065
cora,SAR,ours,GCNConv,1.5,0.7970772733589087,0.011394756070340543
cora,SAR,NNIF,MLP,1.75,0.5353435708236519,0.01766097608616053
cora,SAR,two_nnif,MLP,1.75,0.5122999933100466,0.004851038864089854
cora,SAR,two_nnif,GATConv,1.75,0.7016808490403608,0.01952012536470559
cora,SAR,two_nnif,GCNConv,1.75,0.7565803275606887,0.010275606104498927
cora,SAR,nnpu,MLP,1.75,0.5309430622462971,0.0053608902408717055
cora,SAR,nnpu,GATConv,1.75,0.5787712522073564,0.051398121719277066
cora,SAR,nnpu,GCNConv,1.75,0.5857405574728612,0.001713863291760697
cora,SAR,imbnnpu,MLP,1.75,0.5823934801228557,0.02351522587822723
cora,SAR,imbnnpu,GATConv,1.75,0.8212847642442572,0.0076791063455815545
cora,SAR,imbnnpu,GCNConv,1.75,0.8366043158955024,0.017483059100470648
cora,SAR,ours,GCNConv,1.75,0.7743038822754156,0.014861828510405885
